actorId,filmTitle,filmYear,genres,averageRating,numVotes
nm0172903,The Rescue,1929,"Adventure,Romance",7.2,28
nm0522281,Chasing Rainbows,1930,"Comedy,Drama,Musical",5.9,246
nm0062828,Romance of the Rio Grande,1929,Western,,
nm0000795,The Saturday Night Kid,1929,Comedy,5.9,260
nm0646829,The Saturday Night Kid,1929,Comedy,5.9,260
nm0341464,Saturday's Children,1929,"Comedy,Romance",5.9,33
nm0000017,The Ship of Lost Men,1929,"Drama,Thriller",6.5,118
nm0612847,Seven Faces,1929,"Drama,Romance",7.8,66
nm0228715,Seven Keys to Baldpate,1929,"Comedy,Mystery,Thriller",6.1,362
nm0771584,Show Boat,1929,"Drama,Musical,Romance",6.2,286
nm0001256,The Single Standard,1929,"Drama,Romance",6.7,597
nm0173993,Skin Deep,1929,"Action,Crime,Drama",7.5,23
nm0599910,So This Is College,1929,"Comedy,Drama,Romance",5.4,247
nm0000781,Song of Love,1929,Musical,6.1,21
nm0001948,South Sea Rose,1929,"Comedy,Drama",7.2,14
nm0949835,The Squall,1929,"Drama,Music,Romance",4.7,410
nm0000891,Stairs of Sand,1929,"Romance,Western",5.9,14
nm0000795,Stairs of Sand,1929,"Romance,Western",5.9,14
nm0173993,Street Girl,1929,"Drama,Musical,Romance",6.2,428
nm0642988,Street Girl,1929,"Drama,Musical,Romance",6.2,428
nm0572142,Strong Boy,1929,"Comedy,Drama",4.8,51
nm0545298,The Studio Murder Mystery,1929,"Adventure,Crime,Mystery",5.5,169
nm0310980,Sunny Side Up,1929,"Comedy,Musical",6.6,422
nm0642988,Sweetie,1929,"Music,Romance,Sport",6.6,82
nm0681933,The Taming of the Shrew,1929,"Comedy,Romance",6.2,591
nm0790454,Their Own Desire,1929,"Drama,Romance",5.8,694
nm0832011,Their Own Desire,1929,"Drama,Romance",5.8,694
nm0599910,Their Own Desire,1929,"Drama,Romance",5.8,694
nm0943618,The Thirteenth Chair,1929,"Drama,Mystery",5.8,644
nm0062828,Thru Different Eyes,1929,Drama,6.1,65
nm0051628,Thunderbolt,1929,"Crime,Drama,Film-Noir",6.5,704
nm0173993,"The Time, the Place and the Girl",1929,"Comedy,Drama,Musical",5.8,12
nm0187981,Trent's Last Case,1929,Mystery,6.9,66
nm0841797,The Trespasser,1929,Drama,6.5,1353
nm0790454,The Trial of Mary Dugan,1929,Drama,6.5,141
nm0832011,The Trial of Mary Dugan,1929,Drama,6.5,141
nm0155011,Troika,1930,,,
