actorName,movieTitle,createdYear,awardStatus
Jessica Tandy,Fried Green Tomatoes,1991,Nominee
Jill Clayburgh,An Unmarried Woman,1978,Nominee
Jill Clayburgh,Starting Over,1979,Nominee
Joan Allen,Nixon,1995,Nominee
Joan Allen,The Contender,2000,Nominee
Joan Allen,The Crucible,1996,Nominee
Joan Crawford,Mildred Pierce,1945,Winner
Joan Crawford,Possessed,1947,Nominee
Joan Crawford,Sudden Fear,1952,Nominee
Joan Cusack,In & Out,1997,Nominee
Joan Cusack,Working Girl,1988,Nominee
Joan Fontaine,Rebecca,1940,Nominee
Joan Fontaine,Suspicion,1941,Winner
Joan Fontaine,The Constant Nymph,1943,Nominee
Joanne Woodward,Mr. And Mrs. Bridge,1990,Nominee
Joanne Woodward,"Rachel, Rachel",1968,Nominee
Joanne Woodward,"Summer Wishes, Winter Dreams",1973,Nominee
Joanne Woodward,The Three Faces Of Eve,1957,Winner
Joaquin Phoenix,Gladiator,2000,Nominee
Joaquin Phoenix,Joker,2019,Winner
Joaquin Phoenix,The Master,2012,Nominee
Joaquin Phoenix,Walk The Line,2005,Nominee
Jodie Foster,Nell,1994,Nominee
Jodie Foster,Taxi Driver,1976,Nominee
Jodie Foster,The Accused,1988,Winner
Jodie Foster,The Silence Of The Lambs,1991,Winner
Joe Pesci,Goodfellas,1990,Winner
Joe Pesci,Raging Bull,1980,Nominee
Joe Pesci,The Irishman,2019,Nominee
John Gielgud,Arthur,1981,Nominee
John Gielgud,Becket,1964,Nominee
John Hurt,Midnight Express,1978,Nominee
John Lithgow,Terms Of Endearment,1983,Nominee
John Lithgow,The World According To Garp,1982,Nominee
John Malkovich,In The Line Of Fire,1993,Nominee
John Malkovich,Places In The Heart,1984,Nominee
John Travolta,Pulp Fiction,1994,Nominee
John Travolta,Saturday Night Fever,1977,Nominee
John Wayne,Sands Of Iwo Jima,1949,Nominee
John Wayne,True Grit,1969,Nominee
Johnny Depp,Finding Neverland,2004,Nominee
Johnny Depp,Pirates Of The Caribbean: The Curse Of The Black Pearl,2003,Nominee
Johnny Depp,Sweeney Todd: The Demon Barber Of Fleet Street,2007,Nominee
Jon Voight,Ali,2001,Nominee
Jon Voight,Coming Home,1978,Winner
Jon Voight,Midnight Cowboy,1969,Nominee
Jon Voight,Runaway Train,1985,Nominee
Jonah Hill,Moneyball,2011,Nominee
Jonah Hill,The Wolf Of Wall Street,2013,Nominee
Jose Ferrer,Cyrano De Bergerac,1950,Nominee
Jose Ferrer,Moulin Rouge,1952,Nominee
Jose Ferrer,,,Nominee
José Ferrer,Cyrano De Bergerac,1950,Winner
Joyce Redman,Othello,1965,Nominee
Joyce Redman,Tom Jones,1963,Nominee
Jude Law,Cold Mountain,2003,Nominee
Jude Law,The Talented Mr. Ripley,1999,Nominee
Judi Dench,Belfast,2021,Nominee
Judi Dench,Chocolat,2000,Nominee
Judi Dench,Iris,2001,Nominee
Judi Dench,Mrs Brown,1997,Nominee
Judi Dench,Mrs Henderson Presents,2005,Nominee
Judi Dench,Notes On A Scandal,2006,Nominee
Judi Dench,Philomena,2013,Nominee
Judi Dench,Shakespeare In Love,1998,Winner
Judy Davis,A Passage To India,1984,Nominee
Judy Davis,Husbands And Wives,1992,Nominee
Judy Garland,A Star Is Born,1954,Nominee
Judy Garland,Judgment At Nuremberg,1961,Nominee
Julia Roberts,August: Osage County,2013,Nominee
Julia Roberts,Erin Brockovich,2000,Winner
Julia Roberts,Pretty Woman,1990,Nominee
Julia Roberts,Steel Magnolias,1989,Nominee
Julianne Moore,Boogie Nights,1997,Nominee
Julianne Moore,Far From Heaven,2002,Nominee
Julianne Moore,Still Alice,2014,Winner
Julianne Moore,The End Of The Affair,1999,Nominee
Julianne Moore,The Hours,2002,Nominee
Julie Andrews,Mary Poppins,1964,Winner
Julie Andrews,The Sound Of Music,1965,Nominee
Julie Andrews,Victor Victoria,1982,Nominee
Julie Christie,Afterglow,1997,Nominee
Julie Christie,Away From Her,2007,Nominee
Julie Christie,Darling,1965,Winner
Julie Christie,Mccabe & Mrs. Miller,1971,Nominee
Julie Walters,Billy Elliot,2000,Nominee
Julie Walters,Educating Rita,1983,Nominee
Juliette Binoche,Chocolat,2000,Nominee
Juliette Binoche,The English Patient,1996,Nominee
Karl Malden,A Streetcar Named Desire,1951,Nominee
Karl Malden,On The Waterfront,1954,Nominee
Kate Winslet,Eternal Sunshine Of The Spotless Mind,2004,Nominee
Kate Winslet,Iris,2001,Nominee
Kate Winslet,Little Children,2006,Nominee
Kate Winslet,Sense And Sensibility,1995,Nominee
Kate Winslet,Steve Jobs,2015,Nominee
Kate Winslet,The Reader,2008,Winner
Kate Winslet,Titanic,1997,Nominee
Katharine Hepburn,Alice Adams,1935,Nominee
Katharine Hepburn,Guess Who'S Coming To Dinner,1967,Winner
Katharine Hepburn,Long Day'S Journey Into Night,1962,Nominee
Katharine Hepburn,Morning Glory,1933,Winner
Katharine Hepburn,On Golden Pond,1981,Winner
Katharine Hepburn,"Suddenly, Last Summer",1959,Nominee
Katharine Hepburn,Summertime,1955,Nominee
Katharine Hepburn,The African Queen,1951,Nominee
Katharine Hepburn,The Lion In Winter,1968,Winner
Katharine Hepburn,The Philadelphia Story,1940,Nominee
Katharine Hepburn,The Rainmaker,1956,Nominee
Katharine Hepburn,Woman Of The Year,1942,Nominee
Kathy Bates,About Schmidt,2002,Nominee
Kathy Bates,Misery,1990,Winner
Kathy Bates,Primary Colors,1998,Nominee
Kathy Bates,Richard Jewell,2019,Nominee
Keira Knightley,Pride & Prejudice,2005,Nominee
Keira Knightley,The Imitation Game,2014,Nominee
Kenneth Branagh,Henry V,1989,Nominee
Kenneth Branagh,My Week With Marilyn,2011,Nominee
Kevin Spacey,American Beauty,1999,Winner
Kevin Spacey,The Usual Suspects,1995,Winner
Kim Stanley,Frances,1982,Nominee
Kim Stanley,Séance On A Wet Afternoon,1964,Nominee
Kirk Douglas,Champion,1949,Nominee
Kirk Douglas,Lust For Life,1956,Nominee
Kirk Douglas,The Bad And The Beautiful,1952,Nominee
Laura Dern,Marriage Story,2019,Winner
Laura Dern,Rambling Rose,1991,Nominee
Laura Dern,Wild,2014,Nominee
Laura Linney,Kinsey,2004,Nominee
Laura Linney,The Savages,2007,Nominee
Laura Linney,You Can Count On Me,2000,Nominee
Laurence Olivier,Hamlet,1948,Winner
Laurence Olivier,Henry V,1946,Nominee
Laurence Olivier,Marathon Man,1976,Nominee
Laurence Olivier,Othello,1965,Nominee
Laurence Olivier,Rebecca,1940,Nominee
Laurence Olivier,Richard Iii,1956,Nominee
Laurence Olivier,Sleuth,1972,Nominee
Laurence Olivier,The Boys From Brazil,1978,Nominee
Laurence Olivier,The Entertainer,1960,Nominee
Laurence Olivier,Wuthering Heights,1939,Nominee
Lee Grant,Detective Story,1951,Nominee
Lee Grant,Shampoo,1975,Winner
Lee Grant,The Landlord,1970,Nominee
Lee Grant,Voyage Of The Damned,1976,Nominee
Lee J. Cobb,On The Waterfront,1954,Nominee
Lee J. Cobb,The Brothers Karamazov,1958,Nominee
Leonardo DiCaprio,Blood Diamond,2006,Nominee
Leonardo DiCaprio,Once Upon A Time In Hollywood,2019,Nominee
Leonardo DiCaprio,The Aviator,2004,Nominee
Leonardo DiCaprio,The Revenant,2015,Winner
Leonardo DiCaprio,The Wolf Of Wall Street,2013,Nominee
Leonardo DiCaprio,What'S Eating Gilbert Grape,1993,Nominee
Leslie Caron,Lili,1953,Nominee
Leslie Caron,The L-Shaped Room,1962,Nominee
Leslie Howard,Berkeley Square,1933,Nominee
Leslie Howard,Pygmalion,1938,Nominee
Liv Ullmann,Face To Face,1976,Nominee
Liv Ullmann,The Emigrants,1972,Nominee
Liza Minnelli,Cabaret,1972,Nominee
Liza Minnelli,The Sterile Cuckoo,1969,Nominee
Loretta Young,Come To The Stable,1949,Nominee
Loretta Young,The Farmer'S Daughter,1947,Nominee
Luise Rainer,The Good Earth,1937,Winner
Luise Rainer,The Great Ziegfeld,1936,Winner
Lynn Redgrave,Georgy Girl,1966,Nominee
Lynn Redgrave,Gods And Monsters,1998,Nominee
Madeline Kahn,Blazing Saddles,1974,Nominee
Madeline Kahn,Paper Moon,1973,Nominee
Maggie Smith,A Room With A View,1986,Nominee
Maggie Smith,California Suite,1978,Winner
Maggie Smith,Gosford Park,2001,Nominee
Maggie Smith,Othello,1965,Nominee
Maggie Smith,The Prime Of Miss Jean Brodie,1969,Winner
Maggie Smith,Travels With My Aunt,1972,Nominee
Mahershala Ali,Green Book,2018,Winner
Mahershala Ali,Moonlight,2016,Winner
Marcello Mastroianni,A Special Day,1977,Nominee
Marcello Mastroianni,Dark Eyes,1987,Nominee
Marcello Mastroianni,Divorce Italian Style,1962,Nominee
Marcia Gay Harden,Mystic River,2003,Nominee
Marcia Gay Harden,Pollock,2000,Nominee
Margot Robbie,Bombshell,2019,Nominee
Margot Robbie,I Tonya,2017,Nominee
Maria Ouspenskaya,Dodsworth,1936,Nominee
Maria Ouspenskaya,Love Affair,1939,Nominee
Marie Dressler,Emma,1931,Nominee
Marie Dressler,Min And Bill,1930,Nominee
Marion Cotillard,La Vie En Rose,2007,Nominee
Marion Cotillard,"Two Days, One Night",2014,Nominee
Marisa Tomei,In The Bedroom,2001,Nominee
Marisa Tomei,My Cousin Vinny,1992,Winner
Marisa Tomei,The Wrestler,2008,Nominee
Marjorie Rambeau,Primrose Path,1940,Nominee
Marjorie Rambeau,Torch Song,1953,Nominee
Mark Ruffalo,Foxcatcher,2014,Nominee
Mark Ruffalo,Spotlight,2015,Nominee
Mark Ruffalo,The Kids Are All Right,2010,Nominee
Marlon Brando,A Dry White Season,1989,Nominee
Marlon Brando,A Streetcar Named Desire,1951,Nominee
Marlon Brando,Julius Caesar,1953,Nominee
Marlon Brando,Last Tango In Paris,1973,Nominee
Marlon Brando,On The Waterfront,1954,Winner
Marlon Brando,Sayonara,1957,Nominee
Marlon Brando,The Godfather,1972,Winner
Marlon Brando,Viva Zapata!,1952,Nominee
Marsha Mason,Chapter Two,1979,Nominee
Marsha Mason,Cinderella Liberty,1973,Nominee
Marsha Mason,Only When I Laugh,1981,Nominee
Marsha Mason,The Goodbye Girl,1977,Nominee
Martin Landau,Crimes And Misdemeanors,1989,Nominee
Martin Landau,Ed Wood,1994,Winner
Martin Landau,Tucker: The Man And His Dream,1988,Nominee
Mary McDonnell,Dances With Wolves,1990,Nominee
Mary McDonnell,Passion Fish,1992,Nominee
Matt Damon,Good Will Hunting,1997,Nominee
Matt Damon,Invictus,2009,Nominee
Matt Damon,The Martian,2015,Nominee
Maureen Stapleton,Airport,1970,Nominee
Maureen Stapleton,Interiors,1978,Nominee
Maureen Stapleton,Lonelyhearts,1958,Nominee
Maureen Stapleton,Reds,1981,Winner
Max von Sydow,Extremely Loud And Incredibly Close,2012,Nominee
Max von Sydow,Pelle The Conqueror,1987,Nominee
Maximilian Schell,Judgment At Nuremberg,1961,Winner
Maximilian Schell,Julia,1977,Nominee
Maximilian Schell,The Man In The Glass Booth,1975,Nominee
May Whitty,Mrs. Miniver,1942,Nominee
May Whitty,Night Must Fall,1937,Nominee
Melinda Dillon,Absence Of Malice,1981,Nominee
Melinda Dillon,Close Encounters Of The Third Kind,1977,Nominee
Melissa Leo,Frozen River,2008,Nominee
Melissa Leo,The Fighter,2010,Nominee
Melissa McCarthy,Bridesmaids,2011,Nominee
Melissa McCarthy,Can You Ever Forgive Me?,2018,Nominee
Melvyn Douglas,Being There,1979,Winner
Melvyn Douglas,Hud,1963,Winner
Melvyn Douglas,I Never Sang For My Father,1970,Nominee
Mercedes McCambridge,All The King'S Men,1949,Nominee
Mercedes McCambridge,Giant,1956,Nominee
Meryl Streep,A Cry In The Dark,1988,Nominee
Meryl Streep,Adaptation,2002,Nominee
Meryl Streep,August: Osage County,2013,Nominee
Meryl Streep,Doubt,2008,Nominee
Meryl Streep,Florence Foster Jenkins,2016,Nominee
Meryl Streep,Into The Woods,2014,Nominee
Meryl Streep,Ironweed,1987,Nominee
Meryl Streep,Julie And Julia,2009,Nominee
Meryl Streep,Kramer Vs. Kramer,1979,Winner
Meryl Streep,Music Of The Heart,1999,Nominee
Meryl Streep,One True Thing,1998,Nominee
Meryl Streep,Out Of Africa,1985,Nominee
Meryl Streep,Postcards From The Edge,1990,Nominee
Meryl Streep,Silkwood,1983,Nominee
Meryl Streep,Sophie'S Choice,1982,Winner
Meryl Streep,The Bridges Of Madison County,1995,Nominee
Meryl Streep,The Deer Hunter,1978,Nominee
Meryl Streep,The Devil Wears Prada,2006,Nominee
Meryl Streep,The French Lieutenant'S Woman,1981,Nominee
Meryl Streep,The Iron Lady,2011,Winner
Meryl Streep,The Post,2017,Nominee
Michael Caine,Alfie,1966,Nominee
Michael Caine,Educating Rita,1983,Nominee
Michael Caine,Hannah And Her Sisters,1986,Winner
Michael Caine,Sleuth,1972,Nominee
Michael Caine,The Cider House Rules,1999,Winner
Michael Caine,The Quiet American,2002,Nominee
Michael Fassbender,12 Years A Slave,2013,Nominee
Michael Fassbender,Steve Jobs,2015,Nominee
Michael Shannon,Nocturnal Animals,2016,Nominee
Michael Shannon,Revolutionary Road,2008,Nominee
Michelle Pfeiffer,Dangerous Liaisons,1988,Nominee
Michelle Pfeiffer,Love Field,1992,Nominee
Michelle Pfeiffer,The Fabulous Baker Boys,1989,Nominee
Michelle Williams,Blue Valentine,2010,Nominee
Michelle Williams,Brokeback Mountain,2005,Nominee
Michelle Williams,Manchester By The Sea,2016,Nominee
Michelle Williams,My Week With Marilyn,2011,Nominee
Mickey Rooney,Babes In Arms,1939,Nominee
Mickey Rooney,The Black Stallion,1980,Nominee
Mickey Rooney,The Bold And The Brave,1956,Nominee
Mickey Rooney,The Human Comedy,1943,Nominee
Mildred Dunnock,Baby Doll,1956,Nominee
Mildred Dunnock,Death Of A Salesman,1951,Nominee
Miranda Richardson,Damage,1992,Nominee
Miranda Richardson,Tom & Viv,1994,Nominee
Montgomery Clift,A Place In The Sun,1951,Nominee
Montgomery Clift,From Here To Eternity,1953,Nominee
Montgomery Clift,Judgment At Nuremberg,1961,Nominee
Montgomery Clift,The Search,1948,Nominee
Morgan Freeman,Driving Miss Daisy,1989,Nominee
Morgan Freeman,Invictus,2009,Nominee
Morgan Freeman,Million Dollar Baby,2004,Winner
Morgan Freeman,Street Smart,1987,Nominee
Morgan Freeman,The Shawshank Redemption,1994,Nominee
Naomi Watts,21 Grams,2003,Nominee
Naomi Watts,The Impossible,2012,Nominee
Natalie Portman,Black Swan,2010,Winner
Natalie Portman,Closer,2004,Nominee
Natalie Portman,Jackie,2016,Nominee
Natalie Wood,Love With The Proper Stranger,1963,Nominee
Natalie Wood,Rebel Without A Cause,1955,Nominee
Natalie Wood,Splendor In The Grass,1961,Nominee
Nick Nolte,Affliction,1998,Nominee
Nick Nolte,The Prince Of Tides,1991,Nominee
Nick Nolte,Warrior,2011,Nominee
Nicolas Cage,Adaptation,2002,Nominee
Nicolas Cage,Leaving Las Vegas,1995,Nominee
Nicole Kidman,Being The Ricardos,2021,Nominee
Nicole Kidman,Lion,2016,Nominee
Nicole Kidman,Moulin Rouge!,2001,Nominee
Nicole Kidman,Rabbit Hole,2010,Nominee
Nicole Kidman,The Hours,2001,Winner
Norma Shearer,A Free Soul,1930,Nominee
Norma Shearer,Marie Antoinette,1938,Nominee
Norma Shearer,Romeo And Juliet,1936,Nominee
Norma Shearer,The Barretts Of Wimpole Street,1934,Nominee
Norma Shearer,The Divorcee,1930,Winner
Norma Shearer,The Divorcee / Their Own Desire,1929,Nominee
Octavia Spencer,Hidden Figures,2016,Nominee
Octavia Spencer,The Help,2011,Winner
Octavia Spencer,The Shape Of Water,2017,Nominee
Olivia Colman,The Father,2020,Nominee
Olivia Colman,The Favourite,2018,Winner
Olivia Colman,The Lost Daughter,2021,Nominee
Olivia de Havilland,Gone With The Wind,1939,Nominee
Olivia de Havilland,Hold Back The Dawn,1941,Nominee
Olivia de Havilland,The Heiress,1949,Winner
Olivia de Havilland,The Snake Pit,1948,Nominee
Olivia de Havilland,To Each His Own,1946,Winner
Patricia Neal,Hud,1963,Nominee
Patricia Neal,The Subject Was Roses,1968,Nominee
Paul Muni,I Am A Fugitive From A Chain Gang,1933,Nominee
Paul Muni,The Last Angry Man,1959,Nominee
Paul Muni,The Life Of Emile Zola,1937,Nominee
Paul Muni,The Story Of Louis Pasteur,1936,Winner
Paul Muni,The Valiant,1929,Nominee
Paul Newman,Absence Of Malice,1981,Nominee
Paul Newman,Cat On A Hot Tin Roof,1958,Nominee
Paul Newman,Cool Hand Luke,1967,Nominee
Paul Newman,Hud,1963,Nominee
Paul Newman,Nobody'S Fool,1994,Nominee
Paul Newman,Road To Perdition,2002,Nominee
Paul Newman,The Color Of Money,1986,Winner
Paul Newman,The Hustler,1961,Nominee
Paul Newman,The Verdict,1982,Nominee
Paul Scofield,A Man For All Seasons,1966,Nominee
Paul Scofield,Quiz Show,1994,Nominee
Penelope Cruz,Nine,2009,Nominee
Penelope Cruz,Parallel Mothers,2021,Nominee
Penelope Cruz,Vicky Cristina Barcelona,2008,Winner
Penelope Cruz,Volver,2006,Nominee
Peter Falk,"Murder, Inc.",1960,Nominee
Peter Falk,Pocketful Of Miracles,1961,Nominee
Peter Finch,Network,1976,Nominee
Peter Finch,Sunday Bloody Sunday,1971,Nominee
Peter O'Toole,Becket,1964,Nominee
Peter O'Toole,"Goodbye, Mr. Chips",1969,Nominee
Peter O'Toole,Lawrence Of Arabia,1962,Nominee
Peter O'Toole,My Favorite Year,1982,Nominee
Peter O'Toole,The Lion In Winter,1968,Nominee
Peter O'Toole,The Ruling Class,1972,Nominee
Peter O'Toole,The Stunt Man,1980,Nominee
Peter O'Toole,Venus,2006,Nominee
Peter Sellers,Being There,1979,Nominee
Peter Sellers,Dr. Strangelove Or: How I Learned To Stop Worrying And Love The Bomb,1964,Nominee
Peter Ustinov,Quo Vadis,1951,Nominee
Peter Ustinov,Spartacus,1960,Winner
Peter Ustinov,Topkapi,1964,Winner
Philip Seymour Hoffman,Capote,2005,Winner
Philip Seymour Hoffman,Charlie Wilson'S War,2007,Nominee
Philip Seymour Hoffman,Doubt,2008,Nominee
Philip Seymour Hoffman,The Master,2012,Nominee
Piper Laurie,Carrie,1976,Nominee
Piper Laurie,Children Of A Lesser God,1986,Nominee
Piper Laurie,The Hustler,1961,Nominee
Rachel Weisz,The Constant Gardener,2005,Nominee
Rachel Weisz,The Favourite,2018,Nominee
Ralph Fiennes,Schindler'S List,1993,Nominee
Ralph Fiennes,The English Patient,1996,Nominee
Ralph Richardson,"Greystoke: The Legend Of Tarzan, Lord Of The Apes",1984,Nominee
Ralph Richardson,The Heiress,1949,Nominee
Reese Witherspoon,Walk The Line,2005,Nominee
Reese Witherspoon,Wild,2014,Nominee
Renée Zellweger,Bridget Jones' Diary,2001,Nominee
Renée Zellweger,Chicago,2002,Nominee
Renée Zellweger,Cold Mountain,2003,Winner
Renée Zellweger,Judy,2019,Winner
Rex Harrison,Cleopatra,1963,Nominee
Rex Harrison,My Fair Lady,1964,Nominee
Richard Burton,Anne Of The Thousand Days,1969,Nominee
Richard Burton,Becket,1964,Nominee
Richard Burton,Equus,1977,Nominee
Richard Burton,My Cousin Rachel,1952,Nominee
Richard Burton,The Robe,1954,Nominee
Richard Burton,The Spy Who Came In From The Cold,1965,Nominee
Richard Burton,Who'S Afraid Of Virginia Woolf?,1966,Nominee
Richard Burton,,,Nominee
Richard Dreyfuss,Mr. Holland'S Opus,1995,Nominee
Richard Dreyfuss,The Goodbye Girl,1977,Nominee
Richard Farnsworth,Comes A Horseman,1978,Nominee
Richard Farnsworth,The Straight Story,1999,Nominee
Richard Harris,The Field,1990,Nominee
Richard Harris,This Sporting Life,1963,Nominee
Richard Jenkins,The Shape Of Water,2017,Nominee
Richard Jenkins,The Visitor,2008,Nominee
Robert De Niro,Awakenings,1990,Nominee
Robert De Niro,Cape Fear,1991,Nominee
Robert De Niro,Raging Bull,1980,Winner
Robert De Niro,Silver Linings Playbook,2012,Nominee
Robert De Niro,Taxi Driver,1976,Nominee
Robert De Niro,The Deer Hunter,1978,Nominee
Robert De Niro,The Godfather Part Ii,1974,Winner
Robert Downey Jr.,Chaplin,1992,Nominee
Robert Downey Jr.,Tropic Thunder,2008,Nominee
Robert Duvall,A Civil Action,1998,Nominee
Robert Duvall,Apocalypse Now,1979,Nominee
Robert Duvall,Tender Mercies,1983,Winner
Robert Duvall,The Apostle,1997,Nominee
Robert Duvall,The Godfather,1974,Nominee
Robert Duvall,The Great Santini,1980,Nominee
Robert Duvall,The Judge,2014,Nominee
Robert Montgomery,Here Comes Mr. Jordan,1941,Nominee
Robert Montgomery,Night Must Fall,1937,Nominee
Robin Williams,Dead Poets Society,1989,Nominee
Robin Williams,"Good Morning, Vietnam",1987,Nominee
Robin Williams,Good Will Hunting,1997,Winner
Robin Williams,The Fisher King,1991,Nominee
Rod Steiger,In The Heat Of The Night,1967,Winner
Rod Steiger,On The Waterfront,1954,Nominee
Rod Steiger,The Pawnbroker,1964,Nominee
Ronald Colman,A Double Life,1947,Winner
Ronald Colman,"Bulldog Drummond / Condemned,",1930,Nominee
Rooney Mara,Carol,2015,Nominee
Rooney Mara,The Girl With The Dragon Tattoo,2011,Nominee
Rosalind Russell,Auntie Mame,1958,Nominee
Rosalind Russell,Mourning Becomes Electra,1947,Nominee
Rosalind Russell,My Sister Eileen,1942,Nominee
Rosalind Russell,Sister Kenny,1946,Nominee
Roy Scheider,All That Jazz,1979,Nominee
Roy Scheider,The French Connection,1971,Nominee
Russell Crowe,A Beautiful Mind,2001,Nominee
Russell Crowe,Gladiator,2000,Winner
Russell Crowe,The Insider,1999,Nominee
Ruth Chatterton,Madame X,1929,Nominee
Ruth Chatterton,Sarah And Son,1930,Nominee
Ruth Gordon,Inside Daisy Clover,1965,Nominee
Ruth Gordon,Rosemary'S Baby,1968,Nominee
Ryan Gosling,Half Nelson,2006,Nominee
Ryan Gosling,La La Land,2016,Nominee
Sal Mineo,Exodus,1960,Nominee
Sal Mineo,Rebel Without A Cause,1955,Nominee
Sally Field,Lincoln,2012,Nominee
Sally Field,Norma Rae,1979,Winner
Sally Field,Places In The Heart,1984,Winner
Sally Hawkins,Blue Jasmine,2013,Nominee
Sally Hawkins,The Shape Of Water,2017,Nominee
Sam Rockwell,"Three Billboards Outside Ebbing, Missouri",2017,Nominee
Sam Rockwell,Vice,2018,Nominee
Samantha Morton,In America,2003,Nominee
Samantha Morton,Sweet And Lowdown,1999,Nominee
Sandra Bullock,Gravity,2013,Nominee
Sandra Bullock,The Blind Side,2009,Nominee
Saoirse Ronan,Atonement,2007,Nominee
Saoirse Ronan,Brooklyn,2015,Nominee
Saoirse Ronan,Lady Bird,2017,Nominee
Saoirse Ronan,Little Women,2019,Nominee
Scarlett Johansson,Jojo Rabbit,2019,Nominee
Scarlett Johansson,Marriage Story,2019,Nominee
Sean Penn,Dead Man Walking,1995,Nominee
Sean Penn,I Am Sam,2001,Nominee
Sean Penn,Milk,2008,Winner
Sean Penn,Mystic River,2003,Winner
Sean Penn,Sweet And Lowdown,1999,Nominee
Shelley Winters,A Patch Of Blue,1965,Winner
Shelley Winters,A Place In The Sun,1951,Nominee
Shelley Winters,The Diary Of Anne Frank,1959,Winner
Shelley Winters,The Poseidon Adventure,1972,Nominee
Shirley Knight,Sweet Bird Of Youth,1962,Nominee
Shirley Knight,The Dark At The Top Of The Stairs,1960,Nominee
Shirley MacLaine,Irma La Douce,1963,Nominee
Shirley MacLaine,Some Came Running,1958,Nominee
Shirley MacLaine,Terms Of Endearment,1983,Winner
Shirley MacLaine,The Apartment,1960,Nominee
Shirley MacLaine,The Turning Point,1977,Nominee
Sidney Poitier,Lilies Of The Field,1963,Nominee
Sidney Poitier,The Defiant Ones,1958,Nominee
Sigourney Weaver,Aliens,1986,Nominee
Sigourney Weaver,Gorillas In The Mist,1988,Nominee
Sigourney Weaver,Working Girl,1988,Nominee
Simone Signoret,Room At The Top,1959,Nominee
Simone Signoret,Ship Of Fools,1965,Nominee
Sissy Spacek,Carrie,1976,Nominee
Sissy Spacek,Coal Miner'S Daughter,1980,Winner
Sissy Spacek,Crimes Of The Heart,1986,Nominee
Sissy Spacek,In The Bedroom,2001,Nominee
Sissy Spacek,Missing,1982,Nominee
Sissy Spacek,The River,1984,Nominee
Sophia Loren,Marriage Italian Style,1964,Nominee
Sophia Loren,Two Women,1961,Nominee
Spencer Tracy,Bad Day At Black Rock,1955,Nominee
Spencer Tracy,Boys Town,1938,Winner
Spencer Tracy,Captains Courageous,1937,Winner
Spencer Tracy,Father Of The Bride,1950,Nominee
Spencer Tracy,Guess Who'S Coming To Dinner,1967,Nominee
Spencer Tracy,Inherit The Wind,1960,Nominee
Spencer Tracy,Judgment At Nuremberg,1961,Nominee
Spencer Tracy,San Francisco,1936,Nominee
Spencer Tracy,The Old Man And The Sea,1958,Nominee
Susan Hayward,I Want To Live!,1958,Winner
Susan Hayward,I'Ll Cry Tomorrow,1955,Nominee
Susan Hayward,My Foolish Heart,1949,Nominee
Susan Hayward,"Smash-Up, The Story Of A Woman",1947,Nominee
Susan Hayward,With A Song In My Heart,1952,Nominee
Susan Sarandon,Atlantic City,1980,Nominee
Susan Sarandon,Dead Man Walking,1995,Winner
Susan Sarandon,Lorenzo'S Oil,1992,Nominee
Susan Sarandon,The Client,1994,Nominee
Susan Sarandon,Thelma & Louise,1991,Nominee
Sylvester Stallone,Creed,2015,Nominee
Sylvester Stallone,Rocky,1976,Nominee
Sylvia Miles,"Farewell, My Lovely",1975,Nominee
Sylvia Miles,Midnight Cowboy,1969,Nominee
Talia Shire,Rocky,1976,Nominee
Talia Shire,The Godfather Part Ii,1974,Nominee
Teresa Wright,Mrs. Miniver,1942,Winner
Teresa Wright,The Little Foxes,1941,Nominee
Teresa Wright,The Pride Of The Yankees,1942,Nominee
Thelma Ritter,All About Eve,1950,Nominee
Thelma Ritter,Birdman Of Alcatraz,1962,Nominee
Thelma Ritter,Pickup On South Street,1953,Nominee
Thelma Ritter,Pillow Talk,1959,Nominee
Thelma Ritter,The Mating Season,1951,Nominee
Thelma Ritter,With A Song In My Heart,1952,Nominee
Thomas Mitchell,Stagecoach,1939,Nominee
Thomas Mitchell,The Hurricane,1937,Nominee
Tom Courtenay,Doctor Zhivago,1965,Nominee
Tom Courtenay,The Dresser,1983,Nominee
Tom Cruise,Born On The Fourth Of July,1989,Nominee
Tom Cruise,Jerry Maguire,1996,Nominee
Tom Cruise,Magnolia,1999,Nominee
Tom Hanks,A Beautiful Day In The Neighborhood,2019,Nominee
Tom Hanks,Big,1988,Nominee
Tom Hanks,Cast Away,2000,Nominee
Tom Hanks,Forrest Gump,1994,Winner
Tom Hanks,Philadelphia,1993,Winner
Tom Hanks,Saving Private Ryan,1998,Nominee
Tom Wilkinson,In The Bedroom,2001,Nominee
Tom Wilkinson,Michael Clayton,2007,Nominee
Tommy Lee Jones,In The Valley Of Elah,2007,Nominee
Tommy Lee Jones,Jfk,1991,Nominee
Tommy Lee Jones,Lincoln,2012,Nominee
Tommy Lee Jones,The Fugitive,1993,Winner
Vanessa Redgrave,Howards End,1992,Nominee
Vanessa Redgrave,Isadora,1968,Nominee
Vanessa Redgrave,Julia,1977,Winner
Vanessa Redgrave,"Mary, Queen Of Scots",1971,Nominee
Vanessa Redgrave,Morgan: A Suitable Case For Treatment,1966,Nominee
Vanessa Redgrave,The Bostonians,1984,Nominee
Victor McLaglen,The Informer,1935,Nominee
Victor McLaglen,The Quiet Man,1952,Nominee
Viggo Mortensen,Captain Fantastic,2016,Nominee
Viggo Mortensen,Eastern Promises,2007,Nominee
Viggo Mortensen,Green Book,2018,Nominee
