nconst,primaryName,birthYear,deathYear,primaryName_clean
nm0355097,Jackie Earle Haley,1961,,jackie earle haley
nm0001276,Jackie Gleason,1916,1987,jackie gleason
nm0000646,Jaclyn Smith,1945,,jaclyn smith
nm0000586,Jada Pinkett Smith,1971,,jada pinkett smith
nm2541974,Jai Courtney,1986,,jai courtney
nm0350453,Jake Gyllenhaal,1980,,jake gyllenhaal
nm0005157,Jake Lloyd,1989,,jake lloyd
nm0001001,James Caan,1940,2022,james caan
nm0000010,James Cagney,1899,1986,james cagney
nm0000336,James Coburn,1928,2002,james coburn
nm0168394,James Coco,1930,1987,james coco
nm0179479,James Corden,1978,,james corden
nm0000342,James Cromwell,1940,,james cromwell
nm0000015,James Dean,1931,1955,james dean
nm0007223,James Dunn,1901,1967,james dunn
nm0000469,James Earl Jones,1931,,james earl jones
nm0290556,James Franco,1978,,james franco
nm0001258,James Garner,1928,2014,james garner
nm0322299,James Gleason,1882,1959,james gleason
nm0000051,James Mason,1909,1984,james mason
nm0564215,James McAvoy,1979,,james mcavoy
nm0000652,James Spader,1960,,james spader
nm0827263,James Stephenson,1889,1941,james stephenson
nm0000071,James Stewart,1908,1997,james stewart
nm0926235,James Whitmore,1921,2009,james whitmore
nm0000249,James Woods,1947,,james woods
nm0004937,Jamie Foxx,1967,,jamie foxx
nm0000130,Jamie Lee Curtis,1958,,jamie lee curtis
nm0012443,Jan Sterling,1921,2004,jan sterling
nm0000737,Jane Alexander,1939,,jane alexander
nm0002034,Jane Darwell,1879,1967,jane darwell
nm0000404,Jane Fonda,1937,,jane fonda
nm0005137,Jane Leeves,1961,,jane leeves
nm0786829,Jane Seymour,1893,1956,jane seymour
nm0943837,Jane Wyman,1917,2007,jane wyman
nm0310980,Janet Gaynor,1906,1984,janet gaynor
nm0001463,Janet Leigh,1927,2004,janet leigh
nm0005216,Janet McTeer,1961,,janet mcteer
nm0840531,Janet Suzman,1939,,janet suzman
nm0001467,Jared Leto,1971,,jared leto
nm0000867,Jason Bateman,1969,,jason bateman
nm0497485,Jason Lee,1968,,jason lee
nm0588553,Jason Miller,1939,2001,jason miller
nm0597388,Jason Momoa,1979,,jason momoa
nm0001673,Jason Robards,1922,2000,jason robards
nm0005458,Jason Statham,1967,,jason statham
nm0837177,Jason Sudeikis,1975,,jason sudeikis
nm0000849,Javier Bardem,1969,,javier bardem
nm0059431,Jay Baruchel,1982,,jay baruchel
nm0379596,Jay Hernandez,1978,,jay hernandez
nm0001109,Jaye Davidson,1968,,jaye davidson
nm6556377,JD McCrary,2007,,jd mccrary
nm0000795,Jean Arthur,1900,1991,jean arthur
nm0241121,Jean Dujardin,1972,,jean dujardin
nm0353405,Jean Hagen,1923,1977,jean hagen
nm0719733,Jean Reno,1908,1985,jean reno
nm0001739,Jean Simmons,1929,2010,jean simmons
nm0002022,Jeanne Crain,1925,2003,jeanne crain
nm0247074,Jeanne Eagels,1890,1929,jeanne eagels
nm0075588,Jeannie Berlin,1949,,jeannie berlin
nm0000313,Jeff Bridges,1949,,jeff bridges
nm0001996,Jeff Chandler,1918,1961,jeff chandler
nm0001099,Jeff Daniels,1955,,jeff daniels
nm0000156,Jeff Goldblum,1952,,jeff goldblum
nm0000098,Jennifer Aniston,1969,,jennifer aniston
nm0000124,Jennifer Connelly,1970,,jennifer connelly
nm0004950,Jennifer Garner,1972,,jennifer garner
nm1617685,Jennifer Hudson,1981,,jennifer hudson
nm0000492,Jennifer Jason Leigh,1962,,jennifer jason leigh
nm0428354,Jennifer Jones,1919,2009,jennifer jones
nm2225369,Jennifer Lawrence,1990,,jennifer lawrence
nm0000182,Jennifer Lopez,1969,,jennifer lopez
nm0000236,Jennifer Tilly,1958,,jennifer tilly
nm2809577,Jenny Slate,1982,,jenny slate
nm0000460,Jeremy Irons,1948,,jeremy irons
nm0719637,Jeremy Renner,1971,,jeremy renner
nm0251986,Jesse Eisenberg,1983,,jesse eisenberg
nm0565366,Jesse McCartney,1987,,jesse mccartney
nm0004695,Jessica Alba,1981,,jessica alba
nm1567113,Jessica Chastain,1977,,jessica chastain
nm0001448,Jessica Lange,1949,,jessica lange
nm1221906,Jessica Szohr,1985,,jessica szohr
nm0001788,Jessica Tandy,1909,1994,jessica tandy
nm0001472,Jet Li,1963,,jet li
