tconst,primaryTitle,startYear,genres
tt0020479,The Taming of the Shrew,1929,"Comedy,Romance"
tt0020488,Their Own Desire,1929,"Drama,Romance"
tt0020492,The Thirteenth Chair,1929,"Drama,Mystery"
tt0020497,Thru Different Eyes,1929,Drama
tt0020499,Thunderbolt,1929,"Crime,Drama,Film-Noir"
tt0020504,"The Time, the Place and the Girl",1929,"Comedy,Drama,Musical"
tt0020513,Trent's Last Case,1929,Mystery
tt0020514,The Trespasser,1929,Drama
tt0020516,The Trial of Mary Dugan,1929,Drama
tt0020517,Troika,1930,
tt0020534,The Unholy Night,1929,"Mystery,Thriller"
tt0020538,Untamed,1929,Drama
tt0020542,The Vagabond Lover,1929,"Comedy,Musical"
tt0020543,The Valiant,1929,Drama
tt0020556,The Virginian,1929,"Romance,Western"
tt0020559,The Voice Within,1929,Drama
tt0020577,The Wheel of Life,1929,"Drama,Romance"
tt0020589,Wild Orchids,1929,"Drama,Romance"
tt0020590,The Wild Party,1929,"Drama,Romance"
tt0020595,Wolf Song,1929,"Drama,Western"
tt0020596,The Wolf of Wall Street,1929,Drama
tt0020599,Woman Trap,1929,"Action,Crime,Drama"
tt0020600,The Woman from Hell,1929,Drama
tt0020602,Woman to Woman,1929,"Drama,Romance"
tt0020603,Wonder of Women,1929,Drama
tt0020612,Young Nowheres,1929,"Adventure,Crime,Drama"
tt0020619,"1914, die letzten Tage vor dem Weltbrand",1931,Drama
tt0020620,Abraham Lincoln,1930,"Biography,Drama,War"
tt0020629,All Quiet on the Western Front,1930,"Drama,War"
tt0020634,Along Came Youth,1930,"Comedy,Romance"
tt0020635,Alraune,1930,Sci-Fi
tt0020641,Anna Christie,1930,"Drama,Romance"
tt0020642,Anna Christie,1930,Drama
tt0020645,Anybody's Woman,1930,Drama
tt0020649,The Arizona Kid,1930,"Mystery,Romance,Western"
tt0020661,Back Pay,1930,"Drama,Romance"
tt0020662,The Bad Man,1930,Western
tt0020668,The Bat Whispers,1930,"Crime,Drama,Horror"
tt0020677,Behind the Make-Up,1930,Drama
tt0020679,The Benson Murder Case,1930,"Crime,Mystery,Thriller"
tt0020686,The Big House,1930,"Crime,Drama,Thriller"
tt0020688,Big Money,1930,Drama
tt0020690,The Big Pond,1930,"Comedy,Music,Romance"
tt0020691,The Big Trail,1930,"Adventure,Romance,Western"
tt0020693,Billy the Kid,1930,Western
tt0020695,The Bishop Murder Case,1929,"Drama,Mystery"
tt0020697,The Blue Angel,1930,"Drama,Music"
tt0020704,The Boudoir Diplomat,1930,"Comedy,Romance"
tt0020712,Bride of the Regiment,1930,"Musical,Romance"
tt0020715,Too Young to Marry,1931,Comedy
tt0020744,The Case of Sergeant Grischa,1930,"Drama,History,Romance"
tt0020746,Caste,1930,Drama
tt0020749,Caught Short,1930,Comedy
tt0020773,Cock o' the Walk,1930,"Drama,Music,Romance"
tt0020780,Command Performance,1931,"Drama,Romance"
tt0020781,Common Clay,1930,Drama
tt0020785,Conspiracy,1930,Mystery
tt0020801,Czar of Broadway,1930,"Crime,Drama"
tt0020806,Danger Lights,1930,"Adventure,Drama"
tt0020809,Dangerous Nan McGrew,1930,"Comedy,Romance,Western"
tt0020810,Dangerous Paradise,1930,"Crime,Drama,Music"
tt0020815,The Dawn Patrol,1930,"Action,Drama,War"
tt0020819,Derelict,1930,Adventure
tt0020821,The Devil to Pay!,1930,"Comedy,Romance"
tt0020822,A Devil with Women,1930,Adventure
tt0020823,The Devil's Holiday,1930,"Drama,Romance"
tt0020827,The Divorcee,1930,"Drama,Romance"
tt0020836,The Doorway to Hell,1930,"Crime,Drama"
tt0020843,The Dreyfus Case,1930,"Biography,Drama,History"
tt0020848,Dumbbells in Ermine,1930,"Comedy,Romance"
tt0020850,East Is West,1930,"Adventure,Crime,Drama"
tt0020873,Fast and Loose,1930,"Comedy,Romance"
tt0020875,The Menace,1932,"Crime,Drama,Mystery"
tt0020890,The Flirting Widow,1930,"Comedy,Romance"
tt0020894,Follow Thru,1930,"Comedy,Musical,Romance"
tt0020895,Follow the Leader,1930,"Comedy,Musical,Romance"
tt0020896,For the Defense,1930,"Crime,Drama,Romance"
tt0020900,Framed,1930,"Action,Crime,Drama"
tt0020902,Free and Easy,1930,"Comedy,Musical"
tt0020919,The Girl Said No,1930,"Comedy,Romance"
tt0020921,The Girl of the Golden West,1930,"Action,Adventure,Romance"
tt0020924,Going Wild,1930,Comedy
tt0020929,Good News,1930,"Comedy,Musical"
