tconst,nconst
tt0020985,nm0362267
tt0020985,nm0000802
tt0020986,nm0007216
tt0020991,nm0719733
tt0021001,nm0173993
tt0021003,nm0173993
tt0021015,nm0021329
tt0021015,nm0280178
tt0021029,nm0949835
tt0021037,nm0051628
tt0021037,nm0000802
tt0021037,nm0545298
tt0021040,nm0001766
tt0021041,nm0001651
tt0021042,nm0154183
tt0021042,nm0001651
tt0021045,nm0601254
tt0021045,nm0000891
tt0021048,nm0001932
tt0021048,nm0000802
tt0021053,nm0007216
tt0021053,nm0545298
tt0021053,nm0604656
tt0021057,nm0002050
tt0021060,nm0790454
tt0021060,nm0237597
tt0021061,nm0642988
tt0021067,nm0417837
tt0021071,nm0237571
tt0021073,nm0341464
tt0021087,nm0949835
tt0021100,nm0599910
tt0021102,nm0228715
tt0021106,nm0950019
tt0021107,nm0000731
tt0021110,nm0237571
tt0021112,nm0000011
tt0021115,nm0949835
tt0021121,nm0001055
tt0021121,nm0545298
tt0021132,nm0322299
tt0021144,nm0173993
tt0021147,nm0051628
tt0021148,nm0237597
tt0021148,nm0000891
tt0021148,nm0708081
tt0021152,nm0001076
tt0021156,nm0000011
tt0021156,nm0000017
tt0021156,nm0579663
tt0021178,nm0862546
tt0021178,nm0601254
tt0021178,nm0579663
tt0021178,nm0950019
tt0021183,nm0771584
tt0021191,nm0001651
tt0021197,nm0832011
tt0021203,nm0002183
tt0021209,nm0572142
tt0021217,nm0001273
tt0021217,nm0237597
tt0021218,nm0260020
tt0021219,nm0000011
tt0021223,nm0001076
tt0021223,nm0599910
tt0021225,nm0001366
tt0021228,nm0001076
tt0021232,nm0000795
tt0021232,nm0002001
tt0021232,nm0000011
tt0021235,nm0579663
tt0021240,nm0001948
tt0021261,nm0002001
tt0021261,nm0260020
tt0021263,nm0606431
tt0021276,nm0322299
tt0021279,nm0604656
tt0021279,nm0001677
tt0021281,nm0172903
tt0021295,nm0062828
tt0021297,nm0000795
tt0021301,nm0154183
tt0021301,nm0510134
tt0021303,nm0001948
tt0021304,nm0949835
tt0021307,nm0862546
tt0021310,nm0001256
tt0021310,nm0832011
tt0021322,nm0545298
tt0021324,nm0000802
tt0021327,nm0001479
tt0021334,nm0642988
tt0021334,nm0001677
tt0021335,nm0154183
tt0021335,nm0545298
tt0021342,nm0187981
tt0021345,nm0001948
tt0021347,nm0642988
tt0021350,nm0606431
tt0021351,nm0949835
tt0021354,nm0522281
tt0021355,nm0771584
tt0021357,nm0000011
tt0021359,nm0001635
tt0021360,nm0606431
tt0021361,nm0173993
tt0021361,nm0870543
tt0021369,nm0228715
tt0021374,nm0000795
tt0021376,nm0000802
tt0021377,nm0001651
tt0021381,nm0000010
tt0021381,nm0000951
tt0021382,nm0599910
tt0021396,nm0642988
tt0021400,nm0001932
tt0021412,nm0000011
tt0021412,nm0173993
tt0021420,nm0001635
tt0021420,nm0000795
tt0021422,nm0832011
tt0021432,nm0062828
tt0021439,nm0682074
tt0021444,nm0322299
tt0021458,nm0000059
tt0021463,nm0000011
tt0021464,nm0522281
tt0021468,nm0001651
tt0021468,nm0237571
tt0021471,nm0173993
tt0021472,nm0002233
tt0021472,nm0390279
tt0021473,nm0237571
tt0021492,nm0545298
tt0021493,nm0949835
tt0021508,nm0000075
tt0021508,nm0000007
tt0021522,nm0682074
tt0021525,nm0404158
tt0021531,nm0599910
tt0021534,nm0000891
tt0021538,nm0393028
tt0021545,nm0841797
tt0021557,nm0950019
tt0021558,nm0001452
tt0021567,nm0000795
tt0021567,nm0510134
tt0021567,nm0260020
tt0021568,nm0001055
tt0021568,nm0001677
tt0021578,nm0579663
tt0021578,nm0001055
tt0021580,nm0394244
tt0021595,nm0002183
tt0021604,nm0832011
tt0021606,nm0001537
tt0021607,nm0796662
tt0021610,nm0572142
tt0021610,nm0950019
tt0021616,nm0074949
tt0021622,nm0172903
tt0021632,nm0002050
tt0021633,nm0001537
tt0021635,nm0007223
tt0021636,nm0000012
tt0021641,nm0832011
tt0021649,nm0000802
tt0021651,nm0510134
tt0021656,nm0322299
tt0021657,nm0949835
tt0021657,nm0000951
tt0021659,nm0322299
tt0021673,nm0000010
tt0021673,nm0000951
tt0021673,nm0129894
tt0021680,nm0000007
tt0021717,nm0771584
tt0021723,nm0237571
tt0021726,nm0002503
tt0021730,nm0000891
tt0021730,nm0178114
tt0021746,nm0228715
tt0021746,nm0002050
tt0021748,nm0062828
tt0021750,nm0000011
tt0021750,nm0796662
tt0021750,nm0510134
tt0021758,nm0796662
tt0021761,nm0002050
tt0021764,nm0606431
tt0021768,nm0646829
tt0021770,nm0404158
tt0021772,nm0862546
tt0021775,nm0310980
tt0021775,nm0062828
tt0021775,nm0580916
tt0021778,nm0001076
tt0021785,nm0370564
tt0021793,nm0310980
tt0021798,nm0362267
tt0021798,nm0001366
tt0021800,nm0000017
tt0021800,nm0572142
tt0021804,nm0062828
tt0021807,nm0950019
tt0021818,nm0502322
tt0021821,nm0642988
tt0021821,nm0260020
tt0021825,nm0708081
tt0021825,nm0579663
tt0021825,nm0599910
tt0021826,nm0362267
tt0021828,nm0001948
tt0021841,nm0000795
tt0021850,nm0646829
tt0021854,nm0832011
tt0021861,nm0000011
tt0021865,nm0001932
tt0021868,nm0000817
tt0021874,nm0001366
tt0021885,nm0790454
tt0021885,nm0001366
tt0021885,nm0000859
tt0021885,nm0000022
tt0021889,nm0579663
tt0021889,nm0000059
tt0021889,nm0002233
tt0021890,nm0579663
tt0021898,nm0642988
tt0021898,nm0000795
tt0021900,nm0173993
tt0021901,nm0060168
tt0021911,nm0000078
tt0021917,nm0000951
tt0021920,nm0000075
tt0021923,nm0682074
tt0021927,nm0579663
tt0021927,nm0002050
tt0021931,nm0526795
tt0021931,nm0285007
tt0021931,nm0950019
tt0021933,nm0000859
tt0021947,nm0000817
tt0021961,nm0350324
tt0021963,nm0000011
tt0021963,nm0001055
tt0021966,nm0000007
tt0021969,nm0001055
tt0021969,nm0545298
tt0021973,nm0682074
tt0021978,nm0404158
tt0021986,nm0949835
tt0021988,nm0000011
tt0021988,nm0001479
tt0021992,nm0001766
tt0021993,nm0393028
tt0022000,nm0841797
tt0022001,nm0001256
tt0022001,nm0599910
tt0022001,nm0832011
tt0022001,nm0708081
tt0022002,nm0000817
tt0022006,nm0001479
tt0022007,nm0322299
tt0022015,nm0642988
tt0022026,nm0681933
tt0022029,nm0682074
tt0022042,nm0796662
tt0022043,nm0001635
tt0022043,nm0001479
tt0022046,nm0173993
tt0022054,nm0001932
tt0022056,nm0646829
tt0022059,nm0001076
tt0022059,nm0000022
tt0022059,nm0708081
tt0022066,nm0708081
tt0022074,nm0002001
tt0022074,nm0001055
tt0022074,nm0394244
tt0022093,nm0001230
tt0022106,nm0154183
tt0022106,nm0000897
tt0022106,nm0260020
tt0022111,nm0580916
tt0022114,nm0310980
tt0022114,nm0390279
tt0022117,nm0599910
tt0022119,nm0001635
tt0022119,nm0001479
tt0022123,nm0000817
tt0022134,nm0000078
tt0022135,nm0579663
tt0022137,nm0001948
tt0022139,nm0001537
tt0022142,nm0310980
tt0022151,nm0002183
tt0022153,nm0001766
tt0022161,nm0522281
tt0022177,nm0832011
tt0022177,nm0000951
tt0022178,nm0545298
tt0022180,nm0322299
tt0022180,nm0001677
tt0022189,nm0393028
tt0022193,nm0000974
tt0022197,nm0001366
tt0022201,nm0646829
tt0022205,nm0007216
tt0022205,nm0545298
tt0022208,nm0001766
tt0022208,nm0000951
tt0022208,nm0000022
tt0022211,nm0260020
tt0022226,nm0154183
tt0022236,nm0000802
tt0022236,nm0000010
tt0022241,nm0007223
tt0022242,nm0001948
tt0022242,nm0950019
tt0022262,nm0007216
tt0022263,nm0002001
tt0022264,nm0832011
tt0022268,nm0949835
tt0022273,nm0237597
tt0022276,nm0001076
tt0022276,nm0000022
tt0022277,nm0000059
tt0022279,nm0790454
tt0022279,nm0599910
tt0022279,nm0580916
tt0022283,nm0862546
tt0022283,nm0950019
tt0022285,nm0228715
tt0022286,nm0000010
tt0022286,nm0000951
tt0022290,nm0000075
tt0022293,nm0000078
tt0022297,nm0000951
tt0022303,nm0237597
tt0022308,nm0007216
tt0022309,nm0051628
tt0022317,nm0949835
tt0022321,nm0001635
tt0022321,nm0129894
tt0022326,nm0000802
tt0022331,nm0404158
tt0022331,nm0949835
tt0022343,nm0051628
tt0022356,nm0228715
tt0022357,nm0000891
tt0022357,nm0832011
tt0022357,nm0708081
tt0022358,nm0580916
tt0022359,nm0001055
tt0022370,nm0733480
tt0022376,nm0599910
tt0022384,nm0708081
tt0022386,nm0832011
tt0022392,nm0000075
tt0022395,nm0350324
tt0022397,nm0178114
tt0022403,nm0000010
tt0022404,nm0000802
tt0022407,nm0007223
tt0022412,nm0708081
tt0022414,nm0178114
tt0022418,nm0557339
tt0022422,nm0000817
tt0022425,nm0000022
tt0022428,nm0062828
tt0022428,nm0001948
tt0022430,nm0404158
tt0022433,nm0007216
tt0022433,nm0129894
tt0022435,nm0790454
tt0022435,nm0599910
tt0022435,nm0708081
tt0022436,nm0796662
tt0022436,nm0094135
tt0022437,nm0510134
tt0022437,nm0832011
tt0022439,nm0006471
tt0022448,nm0001651
tt0022452,nm0062828
tt0022452,nm0000897
tt0022453,nm0001256
tt0022453,nm0000022
tt0022454,nm0187981
tt0022456,nm0322299
tt0022459,nm0708081
tt0022469,nm0001766
tt0022476,nm0062828
tt0022478,nm0001076
tt0022478,nm0708081
tt0022479,nm0949835
tt0022479,nm0000078
tt0022480,nm0572142
tt0022481,nm0173993
tt0022484,nm0001677
tt0022487,nm0154183
tt0022487,nm0510134
tt0022489,nm0841797
tt0022489,nm0002048
tt0022493,nm0642988
tt0022495,nm0002503
tt0022520,nm0154183
tt0022520,nm0510134
tt0022523,nm0172903
tt0022525,nm0260020
tt0022525,nm0001479
tt0022531,nm0002503
tt0022536,nm0510134
tt0022539,nm0173993
tt0022539,nm0000795
tt0022543,nm0060168
tt0022545,nm0000731
tt0022551,nm0000012
tt0022558,nm0000802
tt0022559,nm0572142
